Time,Source,Destination,source port,dest port,Seq,Time,SSRC
1695711124.243640,10.1.6.3,103.242.182.119,9848,17136,56849,2130712524,0x695F8610
1695711124.263050,10.1.6.3,103.242.182.119,9848,17136,56850,2130712684,0x695F8610
1695711124.283370,10.1.6.3,103.242.182.119,9848,17136,56851,2130712844,0x695F8610
1695711124.302700,10.1.6.3,103.242.182.119,9848,17136,56852,2130713004,0x695F8610
1695711124.322940,10.1.6.3,103.242.182.119,9848,17136,56853,2130713164,0x695F8610
1695711124.343310,10.1.6.3,103.242.182.119,9848,17136,56854,2130713324,0x695F8610
1695711124.362570,10.1.6.3,103.242.182.119,9848,17136,56855,2130713484,0x695F8610
1695711124.382990,10.1.6.3,103.242.182.119,9848,17136,56856,2130713644,0x695F8610
1695711124.403300,10.1.6.3,103.242.182.119,9848,17136,56857,2130713804,0x695F8610
1695711124.422640,10.1.6.3,103.242.182.119,9848,17136,56858,2130713964,0x695F8610
1695711124.442930,10.1.6.3,103.242.182.119,9848,17136,56859,2130714124,0x695F8610
1695711124.463320,10.1.6.3,103.242.182.119,9848,17136,56860,2130714284,0x695F8610
1695711124.482630,10.1.6.3,103.242.182.119,9848,17136,56861,2130714444,0x695F8610
1695711124.503000,10.1.6.3,103.242.182.119,9848,17136,56862,2130714604,0x695F8610
1695711124.523240,10.1.6.3,103.242.182.119,9848,17136,56863,2130714764,0x695F8610
1695711124.542620,10.1.6.3,103.242.182.119,9848,17136,56864,2130714924,0x695F8610
1695711124.562920,10.1.6.3,103.242.182.119,9848,17136,56865,2130715084,0x695F8610
1695711124.583400,10.1.6.3,103.242.182.119,9848,17136,56866,2130715244,0x695F8610
1695711124.602700,10.1.6.3,103.242.182.119,9848,17136,56867,2130715404,0x695F8610
1695711124.623090,10.1.6.3,103.242.182.119,9848,17136,56868,2130715564,0x695F8610
1695711124.643410,10.1.6.3,103.242.182.119,9848,17136,56869,2130715724,0x695F8610
1695711124.662790,10.1.6.3,103.242.182.119,9848,17136,56870,2130715884,0x695F8610
1695711124.683090,10.1.6.3,103.242.182.119,9848,17136,56871,2130716044,0x695F8610
1695711124.703480,10.1.6.3,103.242.182.119,9848,17136,56872,2130716204,0x695F8610
1695711124.722760,10.1.6.3,103.242.182.119,9848,17136,56873,2130716364,0x695F8610
1695711124.743090,10.1.6.3,103.242.182.119,9848,17136,56874,2130716524,0x695F8610
1695711124.763330,10.1.6.3,103.242.182.119,9848,17136,56875,2130716684,0x695F8610
1695711124.782640,10.1.6.3,103.242.182.119,9848,17136,56876,2130716844,0x695F8610
1695711124.802920,10.1.6.3,103.242.182.119,9848,17136,56877,2130717004,0x695F8610
1695711124.823360,10.1.6.3,103.242.182.119,9848,17136,56878,2130717164,0x695F8610
1695711124.842650,10.1.6.3,103.242.182.119,9848,17136,56879,2130717324,0x695F8610
1695711124.863160,10.1.6.3,103.242.182.119,9848,17136,56880,2130717484,0x695F8610
1695711124.883510,10.1.6.3,103.242.182.119,9848,17136,56881,2130717644,0x695F8610
1695711124.902980,10.1.6.3,103.242.182.119,9848,17136,56882,2130717804,0x695F8610
1695711124.923310,10.1.6.3,103.242.182.119,9848,17136,56883,2130717964,0x695F8610
1695711124.942730,10.1.6.3,103.242.182.119,9848,17136,56884,2130718124,0x695F8610
1695711124.963050,10.1.6.3,103.242.182.119,9848,17136,56885,2130718284,0x695F8610
1695711124.983540,10.1.6.3,103.242.182.119,9848,17136,56886,2130718444,0x695F8610
1695711125.002910,10.1.6.3,103.242.182.119,9848,17136,56887,2130718604,0x695F8610
1695711125.023370,10.1.6.3,103.242.182.119,9848,17136,56888,2130718764,0x695F8610
1695711125.042760,10.1.6.3,103.242.182.119,9848,17136,56889,2130718924,0x695F8610
1695711125.063250,10.1.6.3,103.242.182.119,9848,17136,56890,2130719084,0x695F8610
1695711125.083610,10.1.6.3,103.242.182.119,9848,17136,56891,2130719244,0x695F8610
1695711125.103100,10.1.6.3,103.242.182.119,9848,17136,56892,2130719404,0x695F8610
1695711125.123470,10.1.6.3,103.242.182.119,9848,17136,56893,2130719564,0x695F8610
1695711125.142970,10.1.6.3,103.242.182.119,9848,17136,56894,2130719724,0x695F8610
1695711125.163280,10.1.6.3,103.242.182.119,9848,17136,56895,2130719884,0x695F8610
1695711125.182730,10.1.6.3,103.242.182.119,9848,17136,56896,2130720044,0x695F8610
1695711125.203090,10.1.6.3,103.242.182.119,9848,17136,56897,2130720204,0x695F8610
1695711125.223570,10.1.6.3,103.242.182.119,9848,17136,56898,2130720364,0x695F8610
1695711125.242860,10.1.6.3,103.242.182.119,9848,17136,56899,2130720524,0x695F8610
1695711125.263260,10.1.6.3,103.242.182.119,9848,17136,56900,2130720684,0x695F8610
1695711125.283610,10.1.6.3,103.242.182.119,9848,17136,56901,2130720844,0x695F8610
1695711125.303150,10.1.6.3,103.242.182.119,9848,17136,56902,2130721004,0x695F8610
1695711125.323540,10.1.6.3,103.242.182.119,9848,17136,56903,2130721164,0x695F8610
1695711125.342870,10.1.6.3,103.242.182.119,9848,17136,56904,2130721324,0x695F8610
1695711125.363110,10.1.6.3,103.242.182.119,9848,17136,56905,2130721484,0x695F8610
1695711125.383470,10.1.6.3,103.242.182.119,9848,17136,56906,2130721644,0x695F8610
1695711125.402830,10.1.6.3,103.242.182.119,9848,17136,56907,2130721804,0x695F8610
1695711125.423280,10.1.6.3,103.242.182.119,9848,17136,56908,2130721964,0x695F8610
1695711125.443610,10.1.6.3,103.242.182.119,9848,17136,56909,2130722124,0x695F8610
1695711125.463110,10.1.6.3,103.242.182.119,9848,17136,56910,2130722284,0x695F8610
1695711125.483470,10.1.6.3,103.242.182.119,9848,17136,56911,2130722444,0x695F8610
1695711125.502840,10.1.6.3,103.242.182.119,9848,17136,56912,2130722604,0x695F8610
1695711125.523160,10.1.6.3,103.242.182.119,9848,17136,56913,2130722764,0x695F8610
1695711125.543520,10.1.6.3,103.242.182.119,9848,17136,56914,2130722924,0x695F8610
1695711125.562800,10.1.6.3,103.242.182.119,9848,17136,56915,2130723084,0x695F8610
1695711125.583220,10.1.6.3,103.242.182.119,9848,17136,56916,2130723244,0x695F8610
1695711125.603450,10.1.6.3,103.242.182.119,9848,17136,56917,2130723404,0x695F8610
1695711125.622880,10.1.6.3,103.242.182.119,9848,17136,56918,2130723564,0x695F8610
1695711125.643170,10.1.6.3,103.242.182.119,9848,17136,56919,2130723724,0x695F8610
1695711125.662640,10.1.6.3,103.242.182.119,9848,17136,56920,2130723884,0x695F8610
1695711125.682940,10.1.6.3,103.242.182.119,9848,17136,56921,2130724044,0x695F8610
1695711125.703300,10.1.6.3,103.242.182.119,9848,17136,56922,2130724204,0x695F8610
1695711125.723590,10.1.6.3,103.242.182.119,9848,17136,56923,2130724364,0x695F8610
1695711125.742980,10.1.6.3,103.242.182.119,9848,17136,56924,2130724524,0x695F8610
1695711125.763270,10.1.6.3,103.242.182.119,9848,17136,56925,2130724684,0x695F8610
1695711125.782620,10.1.6.3,103.242.182.119,9848,17136,56926,2130724844,0x695F8610
1695711125.802870,10.1.6.3,103.242.182.119,9848,17136,56927,2130725004,0x695F8610
1695711125.823260,10.1.6.3,103.242.182.119,9848,17136,56928,2130725164,0x695F8610
1695711125.843500,10.1.6.3,103.242.182.119,9848,17136,56929,2130725324,0x695F8610
1695711125.862850,10.1.6.3,103.242.182.119,9848,17136,56930,2130725484,0x695F8610
